ID,Keyword,Podcast Name,Host Name,Channel Description,Episode Title,Audio URL,Image URL
phat_trien_ban_than_6852aa2b,phát triển bản thân,Phát Triển Bản Thân,Fonos,"Chào mừng các bạn đến với Podcast ""Phát triển bản thân"" từ Fonos - Ứng dụng sách nói có bản quyền tại Việt Nam.  Nếu bạn là một cá nhân không ngừng học hỏi, luôn muốn hoàn thiện bản thân và vươn lên những nấc thang cao hơn về kĩ năng, tư duy hay nhạy bén hơn trong việc ra quyết định thì hãy đến với podcast này nhé. Podcast được lập ra với mục đích chia sẻ những bài học quý giá về rèn luyện tư duy, hình thành thói quen, và các phân tích tâm lý... được viết bởi những tác giả, chuyên gia hàng đầu. Hi vọng, bạn có thể ""nâng cấp"" bản thân mỗi ngày để có một cuộc sống tích cực, phong phú hơn.  Podcast bao gồm Phần mở đầu và Chương 1 của tuyển tập sách nói do Fonos tuyển chọn và gửi tới bạn. Bạn có thể đón nghe Podcast vào mỗi thứ 5 hàng tuần bạn.  Ngoài ra, trên Fonos còn có nhiều đầu sách đa dạng về chủ đề, thú vị về nội dung, mời bạn tải ngay ứng dụng sách nói có bản quyền Fonos trên App Store hoặc Google Play để nghe trọn vẹn các nội dung thú vị.  Bạn có thể download ứng dụng sách nói có bản quyền Fonos tại đây: https://fonos.app.link/tai-fonos",Warren Buffett - 22 Thương Vụ Đầu Tiên Và Bài Học Đắt Giá Từ Những Sai Lầm [Sách Nói],https://media.transistor.fm/118f715f/46f14088.mp3,https://is1-ssl.mzstatic.com/image/thumb/Podcasts211/v4/27/cb/7b/27cb7b4c-db7b-ccf9-1228-2ac34d6dd10b/mza_610070228166363118.jpg/600x600bb.jpg
phat_trien_ban_than_2c2d37b3,phát triển bản thân,Phát Triển Bản Thân,Fonos,"Chào mừng các bạn đến với Podcast ""Phát triển bản thân"" từ Fonos - Ứng dụng sách nói có bản quyền tại Việt Nam.  Nếu bạn là một cá nhân không ngừng học hỏi, luôn muốn hoàn thiện bản thân và vươn lên những nấc thang cao hơn về kĩ năng, tư duy hay nhạy bén hơn trong việc ra quyết định thì hãy đến với podcast này nhé. Podcast được lập ra với mục đích chia sẻ những bài học quý giá về rèn luyện tư duy, hình thành thói quen, và các phân tích tâm lý... được viết bởi những tác giả, chuyên gia hàng đầu. Hi vọng, bạn có thể ""nâng cấp"" bản thân mỗi ngày để có một cuộc sống tích cực, phong phú hơn.  Podcast bao gồm Phần mở đầu và Chương 1 của tuyển tập sách nói do Fonos tuyển chọn và gửi tới bạn. Bạn có thể đón nghe Podcast vào mỗi thứ 5 hàng tuần bạn.  Ngoài ra, trên Fonos còn có nhiều đầu sách đa dạng về chủ đề, thú vị về nội dung, mời bạn tải ngay ứng dụng sách nói có bản quyền Fonos trên App Store hoặc Google Play để nghe trọn vẹn các nội dung thú vị.  Bạn có thể download ứng dụng sách nói có bản quyền Fonos tại đây: https://fonos.app.link/tai-fonos",Tư Duy Hộp Đen [Sách Nói],https://media.transistor.fm/257b6cc3/9e700b01.mp3,https://is1-ssl.mzstatic.com/image/thumb/Podcasts211/v4/27/cb/7b/27cb7b4c-db7b-ccf9-1228-2ac34d6dd10b/mza_610070228166363118.jpg/600x600bb.jpg
phat_trien_ban_than_49e855f5,phát triển bản thân,Phát Triển Bản Thân,Fonos,"Chào mừng các bạn đến với Podcast ""Phát triển bản thân"" từ Fonos - Ứng dụng sách nói có bản quyền tại Việt Nam.  Nếu bạn là một cá nhân không ngừng học hỏi, luôn muốn hoàn thiện bản thân và vươn lên những nấc thang cao hơn về kĩ năng, tư duy hay nhạy bén hơn trong việc ra quyết định thì hãy đến với podcast này nhé. Podcast được lập ra với mục đích chia sẻ những bài học quý giá về rèn luyện tư duy, hình thành thói quen, và các phân tích tâm lý... được viết bởi những tác giả, chuyên gia hàng đầu. Hi vọng, bạn có thể ""nâng cấp"" bản thân mỗi ngày để có một cuộc sống tích cực, phong phú hơn.  Podcast bao gồm Phần mở đầu và Chương 1 của tuyển tập sách nói do Fonos tuyển chọn và gửi tới bạn. Bạn có thể đón nghe Podcast vào mỗi thứ 5 hàng tuần bạn.  Ngoài ra, trên Fonos còn có nhiều đầu sách đa dạng về chủ đề, thú vị về nội dung, mời bạn tải ngay ứng dụng sách nói có bản quyền Fonos trên App Store hoặc Google Play để nghe trọn vẹn các nội dung thú vị.  Bạn có thể download ứng dụng sách nói có bản quyền Fonos tại đây: https://fonos.app.link/tai-fonos","Tự Chủ Với Âu Lo, Tự Do Với Cảm Xúc [Sách Nói]",https://media.transistor.fm/2a661995/4b64486e.mp3,https://is1-ssl.mzstatic.com/image/thumb/Podcasts211/v4/27/cb/7b/27cb7b4c-db7b-ccf9-1228-2ac34d6dd10b/mza_610070228166363118.jpg/600x600bb.jpg
phat_trien_ban_than_c6ba8333,phát triển bản thân,Phát Triển Bản Thân,Fonos,"Chào mừng các bạn đến với Podcast ""Phát triển bản thân"" từ Fonos - Ứng dụng sách nói có bản quyền tại Việt Nam.  Nếu bạn là một cá nhân không ngừng học hỏi, luôn muốn hoàn thiện bản thân và vươn lên những nấc thang cao hơn về kĩ năng, tư duy hay nhạy bén hơn trong việc ra quyết định thì hãy đến với podcast này nhé. Podcast được lập ra với mục đích chia sẻ những bài học quý giá về rèn luyện tư duy, hình thành thói quen, và các phân tích tâm lý... được viết bởi những tác giả, chuyên gia hàng đầu. Hi vọng, bạn có thể ""nâng cấp"" bản thân mỗi ngày để có một cuộc sống tích cực, phong phú hơn.  Podcast bao gồm Phần mở đầu và Chương 1 của tuyển tập sách nói do Fonos tuyển chọn và gửi tới bạn. Bạn có thể đón nghe Podcast vào mỗi thứ 5 hàng tuần bạn.  Ngoài ra, trên Fonos còn có nhiều đầu sách đa dạng về chủ đề, thú vị về nội dung, mời bạn tải ngay ứng dụng sách nói có bản quyền Fonos trên App Store hoặc Google Play để nghe trọn vẹn các nội dung thú vị.  Bạn có thể download ứng dụng sách nói có bản quyền Fonos tại đây: https://fonos.app.link/tai-fonos",Tâm Lý Học Nhân Cách [Sách Nói],https://media.transistor.fm/63cd1aab/42a519f2.mp3,https://is1-ssl.mzstatic.com/image/thumb/Podcasts211/v4/27/cb/7b/27cb7b4c-db7b-ccf9-1228-2ac34d6dd10b/mza_610070228166363118.jpg/600x600bb.jpg
phat_trien_ban_than_46161cf4,phát triển bản thân,Phát Triển Bản Thân,Fonos,"Chào mừng các bạn đến với Podcast ""Phát triển bản thân"" từ Fonos - Ứng dụng sách nói có bản quyền tại Việt Nam.  Nếu bạn là một cá nhân không ngừng học hỏi, luôn muốn hoàn thiện bản thân và vươn lên những nấc thang cao hơn về kĩ năng, tư duy hay nhạy bén hơn trong việc ra quyết định thì hãy đến với podcast này nhé. Podcast được lập ra với mục đích chia sẻ những bài học quý giá về rèn luyện tư duy, hình thành thói quen, và các phân tích tâm lý... được viết bởi những tác giả, chuyên gia hàng đầu. Hi vọng, bạn có thể ""nâng cấp"" bản thân mỗi ngày để có một cuộc sống tích cực, phong phú hơn.  Podcast bao gồm Phần mở đầu và Chương 1 của tuyển tập sách nói do Fonos tuyển chọn và gửi tới bạn. Bạn có thể đón nghe Podcast vào mỗi thứ 5 hàng tuần bạn.  Ngoài ra, trên Fonos còn có nhiều đầu sách đa dạng về chủ đề, thú vị về nội dung, mời bạn tải ngay ứng dụng sách nói có bản quyền Fonos trên App Store hoặc Google Play để nghe trọn vẹn các nội dung thú vị.  Bạn có thể download ứng dụng sách nói có bản quyền Fonos tại đây: https://fonos.app.link/tai-fonos",Tâm Lý Học Tích Cực [Sách Nói],https://media.transistor.fm/520c6cf3/c7976d8c.mp3,https://is1-ssl.mzstatic.com/image/thumb/Podcasts211/v4/27/cb/7b/27cb7b4c-db7b-ccf9-1228-2ac34d6dd10b/mza_610070228166363118.jpg/600x600bb.jpg
phat_trien_ban_than_4ca8b2e1,phát triển bản thân,"Lê Mạnh Tuân - Khởi Nghiệp, Kinh Doanh, Marketing, Phát Triển Bản Thân",Le Manh Tuan,"Chào mừng các bạn đã đến với kênh Podcast của Lê Mạnh Tuân. Tôi có bằng cử nhân quản trị tại Đại Học Kinh Tế Quốc Dân, nhưng đã nhanh chóng cất tấm bằng vào đáy tủ sau khi tốt nghiệp. Hiện tại tôi đang là doanh nhân kinh doanh trong lĩnh vực sản phẩm số, kinh doanh thông tin. Nếu bạn là người đam mê khởi nghiệp, kinh doanh, marketing, phát triển bản thân thì xin chúc mừng bạn! Bạn đã tìm đến đúng nơi. Tôi rất mong kênh Podcast này có thể giúp các bạn trong hành trình cuộc đời! Hãy chia sẻ với bạn bè và người thân của bạn để cùng học hỏi và giao lưu nhé!",Điều duy nhất bạn cần biết để thành công!,https://anchor.fm/s/40b0742c/podcast/play/24003500/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2020-11-15%2F4ab65ad8-6a64-cfb6-8b8e-1ae7cb50f492.mp3,https://is1-ssl.mzstatic.com/image/thumb/Podcasts114/v4/c5/b3/07/c5b30767-ffab-b5f1-a967-3eae500dbfdb/mza_5299053994458863988.jpg/600x600bb.jpg
phat_trien_ban_than_e1dccd3a,phát triển bản thân,"Lê Mạnh Tuân - Khởi Nghiệp, Kinh Doanh, Marketing, Phát Triển Bản Thân",Le Manh Tuan,"Chào mừng các bạn đã đến với kênh Podcast của Lê Mạnh Tuân. Tôi có bằng cử nhân quản trị tại Đại Học Kinh Tế Quốc Dân, nhưng đã nhanh chóng cất tấm bằng vào đáy tủ sau khi tốt nghiệp. Hiện tại tôi đang là doanh nhân kinh doanh trong lĩnh vực sản phẩm số, kinh doanh thông tin. Nếu bạn là người đam mê khởi nghiệp, kinh doanh, marketing, phát triển bản thân thì xin chúc mừng bạn! Bạn đã tìm đến đúng nơi. Tôi rất mong kênh Podcast này có thể giúp các bạn trong hành trình cuộc đời! Hãy chia sẻ với bạn bè và người thân của bạn để cùng học hỏi và giao lưu nhé!",Tại sao luôn có những người ghét bạn?,https://anchor.fm/s/40b0742c/podcast/play/24003329/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2020-11-15%2Fcbc63e5b-732d-cb9e-b157-18adc8902eac.mp3,https://is1-ssl.mzstatic.com/image/thumb/Podcasts114/v4/c5/b3/07/c5b30767-ffab-b5f1-a967-3eae500dbfdb/mza_5299053994458863988.jpg/600x600bb.jpg
phat_trien_ban_than_2e67bb0e,phát triển bản thân,"Lê Mạnh Tuân - Khởi Nghiệp, Kinh Doanh, Marketing, Phát Triển Bản Thân",Le Manh Tuan,"Chào mừng các bạn đã đến với kênh Podcast của Lê Mạnh Tuân. Tôi có bằng cử nhân quản trị tại Đại Học Kinh Tế Quốc Dân, nhưng đã nhanh chóng cất tấm bằng vào đáy tủ sau khi tốt nghiệp. Hiện tại tôi đang là doanh nhân kinh doanh trong lĩnh vực sản phẩm số, kinh doanh thông tin. Nếu bạn là người đam mê khởi nghiệp, kinh doanh, marketing, phát triển bản thân thì xin chúc mừng bạn! Bạn đã tìm đến đúng nơi. Tôi rất mong kênh Podcast này có thể giúp các bạn trong hành trình cuộc đời! Hãy chia sẻ với bạn bè và người thân của bạn để cùng học hỏi và giao lưu nhé!","Khách hàng của bạn là ai, họ đang ở đâu?",https://anchor.fm/s/40b0742c/podcast/play/24003096/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2020-11-15%2F7f039467-1583-efff-588b-03f4231a651b.mp3,https://is1-ssl.mzstatic.com/image/thumb/Podcasts114/v4/c5/b3/07/c5b30767-ffab-b5f1-a967-3eae500dbfdb/mza_5299053994458863988.jpg/600x600bb.jpg
phat_trien_ban_than_a3abcdf3,phát triển bản thân,"Lê Mạnh Tuân - Khởi Nghiệp, Kinh Doanh, Marketing, Phát Triển Bản Thân",Le Manh Tuan,"Chào mừng các bạn đã đến với kênh Podcast của Lê Mạnh Tuân. Tôi có bằng cử nhân quản trị tại Đại Học Kinh Tế Quốc Dân, nhưng đã nhanh chóng cất tấm bằng vào đáy tủ sau khi tốt nghiệp. Hiện tại tôi đang là doanh nhân kinh doanh trong lĩnh vực sản phẩm số, kinh doanh thông tin. Nếu bạn là người đam mê khởi nghiệp, kinh doanh, marketing, phát triển bản thân thì xin chúc mừng bạn! Bạn đã tìm đến đúng nơi. Tôi rất mong kênh Podcast này có thể giúp các bạn trong hành trình cuộc đời! Hãy chia sẻ với bạn bè và người thân của bạn để cùng học hỏi và giao lưu nhé!",Con muốn mua 1 giờ làm việc của bố...,https://anchor.fm/s/40b0742c/podcast/play/24003007/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2020-11-15%2Fe603960a-5bb8-4ae8-25a3-b8bb07006930.mp3,https://is1-ssl.mzstatic.com/image/thumb/Podcasts114/v4/c5/b3/07/c5b30767-ffab-b5f1-a967-3eae500dbfdb/mza_5299053994458863988.jpg/600x600bb.jpg
phat_trien_ban_than_1067b29d,phát triển bản thân,"Lê Mạnh Tuân - Khởi Nghiệp, Kinh Doanh, Marketing, Phát Triển Bản Thân",Le Manh Tuan,"Chào mừng các bạn đã đến với kênh Podcast của Lê Mạnh Tuân. Tôi có bằng cử nhân quản trị tại Đại Học Kinh Tế Quốc Dân, nhưng đã nhanh chóng cất tấm bằng vào đáy tủ sau khi tốt nghiệp. Hiện tại tôi đang là doanh nhân kinh doanh trong lĩnh vực sản phẩm số, kinh doanh thông tin. Nếu bạn là người đam mê khởi nghiệp, kinh doanh, marketing, phát triển bản thân thì xin chúc mừng bạn! Bạn đã tìm đến đúng nơi. Tôi rất mong kênh Podcast này có thể giúp các bạn trong hành trình cuộc đời! Hãy chia sẻ với bạn bè và người thân của bạn để cùng học hỏi và giao lưu nhé!",Làm thế nào để bỏ ra 100k bán sản phẩm 50k mà vẫn lãi?,https://anchor.fm/s/40b0742c/podcast/play/24002899/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2020-11-15%2Ffb7992e6-6800-b713-ec51-5e30c43d270f.mp3,https://is1-ssl.mzstatic.com/image/thumb/Podcasts114/v4/c5/b3/07/c5b30767-ffab-b5f1-a967-3eae500dbfdb/mza_5299053994458863988.jpg/600x600bb.jpg
